orbit_type,model,statistic,intercept,slope,a,b,r2
GEO,linear,median_km,-1.8229928804136664,1.8050510688166284,,,0.976715231381071
GEO,power_law,median_km,,,0.5921740738970254,1.471075315702199,0.9885161601196177
LEO,linear,median_km,-0.2782095211532227,0.2950474225458088,,,0.9880351830548944
LEO,power_law,median_km,,,0.09171289971062785,1.5360144657773918,0.9999942859350962
MEO,linear,median_km,-0.2745150386192955,0.33134836185609134,,,0.9797696139434364
MEO,power_law,median_km,,,0.1561428261311531,1.2916011125565217,0.9818436173531604
