orbit_type,horizon_days,statistic,estimate,n,n_bootstrap,gaussian_low,gaussian_high,percentile_low,percentile_high,bca_low,bca_high,bootstrap_se
GEO,1.0,mean,3.382897414593875,4641,5000,3.0214744402331455,3.7443203889546046,3.053862951026049,3.7731411957789476,3.098447639957563,3.859361339666096,0.18440286516057838
GEO,3.0,mean,9.90077064354709,4393,5000,9.212178115228639,10.589363171865543,9.263042988928447,10.627260163049606,9.303626839433223,10.676952931193417,0.35132917428584476
GEO,7.0,mean,32.180921636304426,4188,5000,30.513403346770744,33.84843992583811,30.508293201542706,33.84066801617454,30.58328454363867,33.935739327996195,0.8507902709880666
LEO,1.0,mean,0.42003206789437936,7813,5000,0.37670732875991375,0.46335680702884496,0.3802117167928361,0.4670430035072647,0.38441735676494515,0.4741529221522729,0.022104864924154543
LEO,3.0,mean,3.872740891259474,7651,5000,3.286159663856062,4.459322118662886,3.3340163393390068,4.513754858300229,3.3919912067969293,4.612753153811961,0.29928163580060135
LEO,7.0,mean,19.70866431304562,7291,5000,17.573496037594442,21.8438325884968,17.755305973121164,21.98957045742525,17.902622104337226,22.24725278598989,1.0893915869337973
MEO,1.0,mean,0.2679544317169386,2447,5000,0.20284068926901044,0.3330681741648668,0.22200174421377497,0.3448660603516402,0.22929501557959228,0.4000232606095204,0.03322190762765902
MEO,3.0,mean,1.1332884351492363,2423,5000,0.8198120976126413,1.4467647726858313,0.8440717972182487,1.4710885006719174,0.882606726291839,1.5480590050010459,0.15993984583862578
MEO,7.0,mean,4.162129925681332,2278,5000,3.2749438603392638,5.0493159910234,3.3214880787030663,5.084542520456192,3.4326822794594833,5.269960799599943,0.4526542693335585
GEO,1.0,median,0.6256949494437772,4641,5000,0.6001887059190528,0.6512011929685017,0.6047879226116816,0.6584402795397687,0.6046010213658262,0.6575939828105104,0.013013628681911698
GEO,3.0,median,2.6267051844749982,4393,5000,2.526641090814805,2.7267692781351913,2.5183351113623984,2.717008505885895,2.5183351113623984,2.717008505885895,0.051054047140399406
GEO,7.0,median,11.134182981823141,4188,5000,10.535211857290674,11.733154106355608,10.67610422617622,11.91356288955207,10.680084312982954,11.91356288955207,0.3056031280457571
LEO,1.0,median,0.0918200728873642,7813,5000,0.08921583700695351,0.09442430876777488,0.0890649534017501,0.0943359162992777,0.0890903555741204,0.0943807926233303,0.0013287161911915545
LEO,3.0,median,0.4944594892420367,7651,5000,0.4819383762104278,0.5069806022736456,0.4830224197604171,0.5079407241020458,0.4827400440742268,0.5075520786149208,0.006388440364401513
LEO,7.0,median,1.824613522414828,7291,5000,1.7667660317091665,1.8824610131204897,1.7741401256010236,1.8860840330801716,1.773124237688494,1.8860755975996393,0.029514568207352394
MEO,1.0,median,0.1667906806262085,2447,5000,0.16050125382629343,0.17308010742612356,0.1606448293420958,0.1728809925216882,0.16035174703375882,0.17284533159977292,0.0032089501896592266
MEO,3.0,median,0.5545940108648595,2423,5000,0.5387891436381448,0.5703988780915742,0.5382909384868816,0.570437973162096,0.538258900636594,0.570437973162096,0.008063855943977296
MEO,7.0,median,2.0999021730680503,2278,5000,2.035859978989159,2.1639443671469416,2.040108127223446,2.1671396593792136,2.040108127223446,2.1695672649135043,0.03267518923003084
GEO,1.0,rmse,13.03658700364821,4641,5000,8.08790853238267,17.98526547491375,8.240686460073178,17.784913237667446,8.879257607151409,19.82698360615606,2.5248823500330033
GEO,3.0,rmse,25.298838509524924,4393,5000,21.401668690498084,29.196008328551763,21.49183179877078,29.199879016845017,22.05943510969994,30.15702602599826,1.9883884855881115
GEO,7.0,rmse,63.66991211467231,4188,5000,58.36173511004665,68.97808911929796,58.65533479006517,69.14969257139238,59.24056299547864,70.11654965513527,2.7083033394980114
LEO,1.0,rmse,1.984076545720111,7813,5000,1.470996219524522,2.4971568719157,1.4554125015941985,2.489223531010136,1.580334846960604,2.664571542878045,0.26178048690828054
LEO,3.0,rmse,26.56018816023808,7651,5000,18.227690203238737,34.892686117237425,17.50354286829798,34.469637665626784,19.40265847494041,36.37895514836092,4.251352587458252
LEO,7.0,rmse,93.97675932240828,7291,5000,72.0407750637971,115.91274358101947,71.23424329936589,115.04071416769376,74.92867260904963,120.59522422832391,11.192034359630807
MEO,1.0,rmse,1.6829829365119047,2447,5000,0.0957297566188966,3.270236116404913,0.3076874265368795,2.874829876540988,0.35642116020979187,3.9159967747644964,0.8098379319278612
MEO,3.0,rmse,8.035389890212391,2423,5000,5.1553592900895655,10.915420490335217,4.919322942378159,10.66685995216651,5.4680936176357955,11.42469441561779,1.4694303685374523
MEO,7.0,rmse,22.087916013211245,2278,5000,16.00788538576857,28.16794664065392,15.496516910089282,27.934027486707294,16.700861258610555,29.053987968371906,3.1021134446353003
