frame,orbit_type,horizon_days,n,cov_11,cov_12,cov_13,cov_21,cov_22,cov_23,cov_31,cov_32,cov_33
teme,GEO,1.0,4641,38.08991313143278,-4.469604101708443,-0.5586721304421628,-4.469604101708443,106.25084750707171,22.3120496039387,-0.5586721304421628,22.3120496039387,25.601504542792178
teme,GEO,3.0,4393,299.25480770768695,-25.339882015936784,-11.955056258661365,-25.339882015936784,271.7874364480077,43.19695173421178,-11.955056258661365,43.19695173421178,68.14414367300795
teme,GEO,7.0,4188,2451.3744266955996,-186.83817688011266,-136.9149952642301,-186.83817688011266,1403.1105747820368,167.6650458028231,-136.9149952642301,167.6650458028231,189.39971449927538
teme,LEO,1.0,7813,1.9469755651162652,0.5823180167526519,-0.07537294993007877,0.5823180167526519,1.2985704225926882,-0.12172466992422945,-0.07537294993007877,-0.12172466992422945,0.6869572063630613
teme,LEO,3.0,7651,86.0426945164384,-26.405169388702863,133.13147372678682,-26.405169388702863,61.96521397325794,-74.14314652244005,133.13147372678682,-74.14314652244005,556.5955577290244
teme,LEO,7.0,7291,2053.7391347932426,694.7479292107424,-1676.2456589018523,694.7479292107424,1652.3911005113644,-565.1284919073419,-1676.2456589018523,-565.1284919073419,5114.379042585396
teme,MEO,1.0,2447,0.07581836057800774,0.017521659142335097,-0.0073928005865866704,0.017521659142335097,0.7997563909937168,1.2095739341442164,-0.0073928005865866704,1.2095739341442164,1.9541984930469785
teme,MEO,3.0,2423,9.158596951146167,4.470144358216758,-15.073658129328935,4.470144358216758,11.694116148233224,5.232645388982437,-15.073658129328935,5.232645388982437,43.45434804437106
teme,MEO,7.0,2278,62.07631770034808,31.925451629947364,-123.17945738618582,31.925451629947364,111.60340029292458,4.840217198455176,-123.17945738618582,4.840217198455176,310.5805836873806
