horizon_days,orbit_type_a,orbit_type_b,mannwhitney_U,p_raw,median_a_km,median_b_km,p_holm
1.0,GEO,LEO,31547802.0,0.0,0.6256949494437772,0.0918200728873642,0.0
1.0,GEO,MEO,9964544.0,0.0,0.6256949494437772,0.1667906806262085,0.0
1.0,LEO,MEO,6627388.0,2.3257218618242085e-116,0.0918200728873642,0.1667906806262085,2.3257218618242085e-116
3.0,GEO,LEO,27706428.0,0.0,2.6267051844749982,0.4944594892420367,0.0
3.0,GEO,MEO,9941563.0,0.0,2.6267051844749982,0.5545940108648595,0.0
3.0,LEO,MEO,9120203.0,0.23240841367370435,0.4944594892420367,0.5545940108648595,0.23240841367370435
7.0,GEO,LEO,24040570.0,0.0,11.134182981823141,1.824613522414828,0.0
7.0,GEO,MEO,8817820.0,0.0,11.134182981823141,2.0999021730680503,0.0
7.0,LEO,MEO,8186607.0,0.30587698027450294,1.824613522414828,2.0999021730680503,0.30587698027450294
