norad_id,name,orbit_type,sample_group,period_min,perigee_km,apogee_km,inclination_deg
28054,DMSP 5D-3 F16 (USA 172),LEO,weather,101.80401651939275,838.7641116034247,849.3822049781429,98.9892
29522,DMSP 5D-3 F17 (USA 191),LEO,weather,101.76736017506587,834.1679844001501,850.5108106783391,98.7377
32958,FENGYUN 3A,LEO,weather,101.43920707180952,820.1590599297797,833.4593906616756,98.6881
35951,DMSP 5D-3 F18 (USA 210),LEO,weather,101.77453808973895,835.5512453895699,849.8065801645744,98.9034
37214,FENGYUN 3B,LEO,weather,101.77828381594946,827.3641638326189,858.3480009505447,98.9622
37849,SUOMI NPP,LEO,weather,101.44304535448676,825.5564315696665,828.4255135283356,98.7952
38771,METOP-B,LEO,weather,101.3063987046947,818.5597041374631,822.4786525609552,98.6507
39260,FENGYUN 3C,LEO,weather,101.71264234554506,828.4730327784582,851.0289327245564,98.4975
40069,METEOR-M 2,LEO,weather,101.30430652408873,815.3853960564975,825.4547376816336,98.5114
41335,SENTINEL-3A,LEO,weather,100.9295499405581,801.6872586581267,803.6246365953966,98.625
41884,CYGFM05,LEO,weather,92.52749950858741,393.6946504170128,403.09234290978566,34.9575
41885,CYGFM04,LEO,weather,92.24626800138356,380.6287397480073,388.68187282633335,34.9328
41886,CYGFM02,LEO,weather,92.07447374497244,371.5835795770063,380.9289581037747,34.9407
41887,CYGFM01,LEO,weather,92.48795114661561,391.8610887908362,401.0637046113152,34.9406
41888,CYGFM08,LEO,weather,92.332807837615,383.59313815560563,394.17540602089684,34.9435
41890,CYGFM07,LEO,weather,92.326711728676,384.27533565027716,392.89749462584587,34.9448
41891,CYGFM03,LEO,weather,92.32721170066448,384.63808644446544,392.58360176301176,34.9404
43010,FENGYUN 3D,LEO,weather,101.42711257866438,824.3424918586097,828.1305514562973,99.0126
43013,NOAA 20 (JPSS-1),LEO,weather,101.44343640226931,826.687418950226,827.3315590463417,98.777
43437,SENTINEL-3B,LEO,weather,100.92942628459126,802.038279432847,803.261885551703,98.6249
43689,METOP-C,LEO,weather,101.30073463686706,819.2078102544783,821.2939030553371,98.6646
